date,equity,return,benchmark_return,leverage,cost,cash_weight,C0_w,C1_w,C2_w,C3_w,C4_w,C5_w,C6_w,C7_w,C8_w,C9_w
2020-07-20,99.79172324906104,-0.0020827675093896686,0.0,2.0,0.001821047879755497,0.08947604,0.08873699,0.08873699,0.091750965,0.09138014,0.08873699,0.09070783,0.091170214,0.08873699,0.099657066,0.09090975
2020-07-21,100.13787597941882,0.0034687949810177088,0.0,2.0,3.527097533151391e-06,0.0887555,0.0887555,0.0887555,0.09224956,0.0920667,0.0887555,0.090405755,0.0913364,0.0887555,0.09891612,0.091247894
2020-07-22,100.06144103098683,-0.0007632758934050798,0.0,2.0,3.292769406471052e-06,0.08863998,0.08863998,0.08863998,0.09306451,0.0919107,0.08863998,0.09006504,0.09184169,0.08863998,0.09834409,0.091574065
2020-07-23,99.5180077031677,-0.005430989898741245,0.0,2.0,3.0331837024277775e-06,0.088473395,0.088473395,0.088473395,0.09249286,0.09204685,0.088473395,0.089953035,0.09190471,0.088473395,0.0993079,0.09192768
2020-07-24,99.02500930246607,-0.0049538747407495975,0.0,2.0,1.6971156355793937e-06,0.08848592,0.08848592,0.08848592,0.09252605,0.091937505,0.08848592,0.08975608,0.09200085,0.08848592,0.09876568,0.09258432
2020-07-26,99.00857715866474,-0.0001659323024796322,0.0,2.0,8.422747669101227e-06,0.08895997,0.08895997,0.08895997,0.09108734,0.090862736,0.08895997,0.09000267,0.09030288,0.08895997,0.10003332,0.09291113
2020-07-27,99.30791830488327,0.003023426979780197,0.0,2.0,6.804950771766016e-06,0.08923992,0.08923992,0.08923992,0.090538,0.08923992,0.089284405,0.09178187,0.08923992,0.08923992,0.09986597,0.09309019
2020-07-28,99.02055826195678,-0.002893621101975441,0.0,2.0,5.525104825210292e-06,0.08952923,0.090174824,0.09031959,0.0891651,0.0891651,0.08974314,0.09076543,0.0891651,0.0891651,0.09977455,0.093032934
2020-07-29,99.05063528813936,0.00030372629407793283,0.0,2.0,4.4664966480922885e-06,0.09014012,0.08896965,0.09125883,0.08896965,0.08896965,0.09011531,0.0910752,0.08896965,0.08896965,0.09952823,0.093034066
2020-07-30,99.4336906960667,0.0038672813680022955,0.0,2.0,1.0033846592705231e-05,0.08957344,0.08925205,0.09007345,0.08925205,0.09095168,0.08934457,0.09057872,0.0911573,0.08925205,0.098015994,0.092548616
