date,equity,return,benchmark_return,leverage,cost,cash_weight,C0_w,C1_w,C2_w,C3_w,C4_w,C5_w,C6_w,C7_w,C8_w,C9_w
2020-07-20,99.7911233180901,-0.0020887668190989646,0.0,2.0,0.0018192770779132843,0.090361424,0.090361424,0.09074005,0.090361424,0.090361424,0.090361424,0.091502115,0.09261206,0.090361424,0.09261574,0.090361424
2020-07-21,100.14047399921411,0.003500799648463726,0.0,2.0,4.778214133693837e-06,0.09020286,0.09020286,0.090833075,0.091990605,0.09020286,0.09020286,0.09216905,0.09141305,0.09020286,0.09237705,0.09020286
2020-07-22,100.06259857791252,-0.0007776676793582737,0.0,2.0,4.167638962826459e-06,0.090182416,0.090182416,0.09117158,0.09373596,0.090182416,0.090182416,0.09199754,0.090182416,0.090182416,0.09181808,0.090182416
2020-07-23,99.51292041481705,-0.005493318662047386,0.0,2.0,3.250643658248009e-06,0.09022215,0.09016274,0.09016274,0.09360588,0.09016274,0.09016274,0.093583085,0.09016274,0.09016274,0.09144969,0.09016274
2020-07-24,99.01013069542601,-0.0050525120459496975,0.0,2.0,4.172518856648821e-06,0.08990938,0.08990938,0.08990938,0.09440591,0.08990938,0.08990938,0.094610475,0.08990938,0.08990938,0.091708526,0.08990938
2020-07-26,98.9988825056724,-0.00011361612268956378,0.0,2.0,9.211629730998538e-06,0.09026759,0.09026759,0.09026759,0.09026759,0.09026759,0.09026759,0.09414301,0.09026759,0.09026759,0.09174237,0.09197392
2020-07-27,99.30021241249571,0.003043827135115862,0.0,2.0,3.584757678254391e-06,0.09024955,0.09024955,0.09024955,0.09024955,0.09024955,0.09024955,0.092476934,0.09058261,0.09024955,0.092546225,0.09264746
2020-07-28,99.00995672187882,-0.0029230215586721897,0.0,2.0,2.6032255391328363e-06,0.09037456,0.09037456,0.09037456,0.09037456,0.09037456,0.09037456,0.09166977,0.09037456,0.09037456,0.09225973,0.093073934
2020-07-29,99.04145867959227,0.00031814377871342003,0.0,2.0,8.089863513305318e-06,0.0907095,0.09171184,0.0907095,0.0907095,0.0907095,0.0907095,0.0907095,0.0910726,0.0907095,0.0907095,0.09153953
2020-07-30,99.42843383085483,0.003907166421413422,0.0,2.0,2.118364136549644e-06,0.090776496,0.0922351,0.090776496,0.090776496,0.090776496,0.090776496,0.090776496,0.090776496,0.090776496,0.090776496,0.090776496
2020-07-31,99.30600633239038,-0.001231325208209455,0.008654318,2.0,5.778857030236395e-06,0.09039015,0.09324023,0.09039015,0.09039015,0.090960875,0.092476405,0.09039015,0.09039015,0.09059145,0.09039015,0.09039015
2020-08-02,99.52543917910073,0.00220970856025815,0.0,2.0,4.014477326563792e-06,0.09052374,0.09369611,0.09113997,0.09052374,0.09052374,0.090974,0.09052374,0.09052374,0.09052374,0.09052374,0.09052374
2020-08-03,99.77920590876575,0.002549795899540186,0.0,2.0,2.991490191561752e-06,0.09057084,0.09310913,0.090634346,0.09057084,0.09057084,0.09057084,0.09057084,0.09057084,0.09057084,0.091689795,0.09057084
2020-08-04,99.24870638089045,-0.005316737107932568,0.0,2.0,6.62229240333545e-06,0.090460435,0.090460435,0.090685524,0.09151935,0.090460435,0.091567025,0.090460435,0.090460435,0.090460435,0.0930051,0.090460435
2020-08-05,99.09433660982657,-0.001555411028675735,0.0,2.0,1.4675789316243026e-05,0.08958984,0.08958984,0.091339245,0.09602091,0.08958984,0.09032328,0.08958984,0.08958984,0.08958984,0.09518771,0.08958984
2020-08-06,99.30653290848808,0.0021413390059024096,0.0,2.0,1.2375735423120204e-05,0.088866875,0.088866875,0.089450166,0.100756176,0.090341315,0.09102439,0.08907183,0.088866875,0.088866875,0.095021755,0.088866875
2020-08-07,99.18039623502092,-0.001270180568099022,0.0,2.0,7.300928700715303e-06,0.08829262,0.08829262,0.09021691,0.10174004,0.091121495,0.09105661,0.08829262,0.08829262,0.08829262,0.0961092,0.08829262
2020-08-09,99.17447871112236,-5.966739263385534e-05,0.0,2.0,1.0544375072640833e-05,0.08895174,0.089863755,0.08951716,0.09937438,0.08957897,0.09039236,0.08895174,0.08895174,0.08895174,0.09651468,0.08895174
2020-08-10,99.30764756681357,0.0013427570229396224,0.0,2.0,7.517770427512005e-06,0.08928573,0.08928573,0.08946047,0.09862232,0.09096124,0.091099024,0.08928573,0.08928573,0.08928573,0.09414259,0.08928573
2020-08-11,99.90268077013536,0.005991844926029444,0.0,2.0,1.170580890175188e-05,0.08904003,0.08904003,0.08904003,0.10035684,0.09110106,0.0919744,0.09238896,0.08904003,0.08904003,0.08993865,0.08904003
2020-08-12,100.0982557479633,0.0019576060585677624,0.0,2.0,1.6873249478521757e-05,0.08773578,0.08773578,0.09166942,0.10202844,0.09297189,0.090839356,0.09465369,0.08773578,0.0889373,0.08795674,0.08773578
2020-08-13,100.20181914747327,0.001034598215483129,0.0,2.0,1.0971285519190133e-05,0.087235875,0.087235875,0.09127323,0.10362507,0.09333911,0.08847041,0.09724742,0.087235875,0.08986539,0.087235875,0.087235875
2020-08-14,100.31736301322711,0.001153093995526433,0.0,2.0,6.008118816680508e-06,0.08750938,0.08750938,0.09148093,0.103647925,0.09129607,0.08750938,0.09846997,0.08750938,0.09004881,0.08750938,0.08750938
2020-08-16,100.10725953112622,-0.002094416879117489,0.0,2.0,1.8265069229528308e-05,0.08903014,0.08903014,0.08903014,0.10025079,0.08903014,0.08903014,0.098477945,0.08903014,0.08903014,0.08903014,0.08903014
2020-08-17,100.07010390857833,-0.00037117989268153906,0.0,2.0,2.739068258961197e-05,0.09011969,0.09011969,0.09011969,0.09135267,0.09011969,0.09011969,0.09368072,0.0916593,0.09011969,0.0907278,0.09186135
2020-08-18,100.04779017912989,-0.00022296910174190998,0.0,2.0,7.822126462997403e-06,0.09017519,0.09028406,0.09017519,0.09017519,0.09017519,0.09017519,0.09107908,0.09336329,0.09017519,0.090595916,0.09362662
2020-08-19,100.53613780685009,0.0048811468295753,0.0,2.0,1.3168320947443135e-05,0.089647144,0.092943296,0.089647144,0.089647144,0.089647144,0.089647144,0.089647144,0.09609839,0.089647144,0.091785714,0.09164264
2020-08-20,100.6054221759208,0.0006891475059092045,0.0,2.0,5.696595053450437e-06,0.08957843,0.09250276,0.0911579,0.08957843,0.08957843,0.08957843,0.09048468,0.09636905,0.08957843,0.09201503,0.08957843
2020-08-21,100.47199892837995,-0.0013262105640023947,0.0,2.0,2.1178924725973047e-05,0.08858396,0.08858396,0.093926854,0.092803285,0.09246619,0.08858396,0.09219258,0.094025664,0.08858396,0.09166563,0.08858396
2020-08-23,100.41519707819005,-0.0005653758998960257,0.0,2.0,2.894330827984959e-05,0.08793862,0.087199114,0.09355141,0.10191353,0.09430622,0.087199114,0.09571393,0.0876661,0.08751783,0.08979496,0.087199114
2020-08-24,100.43168035245637,0.00016418618906755,0.0,2.0,1.5877381883910857e-05,0.087537095,0.086616695,0.09123085,0.10815545,0.09310112,0.086616695,0.09710208,0.086616695,0.08782646,0.088580154,0.086616695
2020-08-25,100.45657094973458,0.00024779370869509876,0.0,2.0,8.236147550633177e-06,0.08807624,0.08729624,0.08963394,0.10803434,0.09146779,0.08729624,0.0965709,0.08729624,0.0886872,0.0883446,0.08729624
2020-08-26,100.40926230406454,-0.0004709595232270658,0.0,2.0,1.0880731679208111e-05,0.08726505,0.08726505,0.08726505,0.11072592,0.08930109,0.08780301,0.09724596,0.08726505,0.08975824,0.08884053,0.08726505
