date,equity,return,benchmark_return,leverage,cost,cash_weight,C0_w,C1_w,C2_w,C3_w,C4_w,C5_w,C6_w,C7_w,C8_w,C9_w
2020-07-20,99.78916953597218,-0.0021083046402782203,0.0,2.0,0.0018110918998718263,0.09445404,0.07876999,0.083249345,0.07876999,0.12633929,0.10361598,0.09067389,0.07876999,0.10781749,0.07876999,0.07876999
2020-07-21,100.13756171357781,0.0034912361297756433,0.0,2.0,3.246901178499684e-05,0.09159882,0.08167568,0.08488355,0.08167568,0.12062624,0.097139,0.09074579,0.08167568,0.10662827,0.08167568,0.08167568
2020-07-22,100.0633533166194,-0.0007410913822241127,0.0,2.0,7.902809738880023e-05,0.10617469,0.07915616,0.07915616,0.07915616,0.10591817,0.09065795,0.094072744,0.07915616,0.12823944,0.07915616,0.07915616
2020-07-23,99.56727163802248,-0.004957675933837891,0.0,2.0,8.910665201256052e-05,0.12499031,0.0775229,0.092708096,0.0775229,0.11244153,0.08014961,0.09973517,0.0775229,0.10236075,0.0775229,0.0775229
2020-07-24,99.12001102817351,-0.004492069128900766,0.0,2.0,9.527643123874441e-05,0.14361046,0.074502066,0.12093158,0.074502066,0.11234473,0.074502066,0.10052978,0.074502066,0.07557111,0.074502066,0.074502066
2020-07-26,99.14581722916485,0.0002603682514745742,0.0,2.0,9.566447261022404e-05,0.16092053,0.0696321,0.106365584,0.0696321,0.14110902,0.07152463,0.102287605,0.0696321,0.0696321,0.0696321,0.0696321
2020-07-27,99.81597215626489,0.006759264972060919,0.0,2.0,0.00010298303095623851,0.13351348,0.066461824,0.13219076,0.066461824,0.1569196,0.066461824,0.112143375,0.066461824,0.066461824,0.066461824,0.066461824
2020-07-28,99.56323758473657,-0.0025320202112197876,0.0,2.0,9.002991282613948e-05,0.115083024,0.06606022,0.12275201,0.06606022,0.1795703,0.08058553,0.097005665,0.06606022,0.0747024,0.06606022,0.06606022
2020-07-29,99.46191310286056,-0.0010176945943385363,0.0,2.0,8.822135714581236e-05,0.12431818,0.06671863,0.10951635,0.06671863,0.16180214,0.09972002,0.083898805,0.06671863,0.087151386,0.06671863,0.06671863
2020-07-30,100.07757661197508,0.0061899637803435326,0.0,2.0,0.0001464517117710784,0.11700692,0.07284839,0.1011703,0.07284839,0.12814288,0.14229707,0.07284839,0.07284839,0.07429249,0.07284839,0.07284839
2020-07-31,99.91973440771845,-0.0015772194601595402,0.008654318,2.0,0.0002816441119648516,0.17939039,0.0691292,0.16816409,0.0691292,0.07945373,0.07247932,0.0691292,0.0691292,0.0857373,0.0691292,0.0691292
2020-08-02,100.11907102653687,0.0019950256682932377,0.0,2.0,5.6818189477780834e-05,0.18961036,0.06975375,0.16866809,0.06975375,0.06975375,0.06975375,0.083691545,0.06975375,0.06975375,0.06975375,0.06975375
2020-08-03,100.33623059548178,0.0021690214052796364,0.0,2.0,3.949920937884599e-05,0.18454707,0.06789107,0.18454707,0.06789107,0.06789107,0.06789107,0.082044035,0.06789107,0.0736244,0.06789107,0.06789107
