date,equity,return,benchmark_return,leverage,cost,cash_weight,C0_w,C1_w,C2_w,C3_w,C4_w,C5_w,C6_w,C7_w,C8_w,C9_w
2020-07-20,99.79179484636988,-0.0020820515363011508,0.0,2.0,0.001821881540119648,0.089059226,0.09605227,0.09052955,0.09039053,0.09389449,0.0900925,0.089059226,0.09374452,0.089059226,0.089059226,0.089059226
2020-07-21,100.14544237372995,0.0035438411869108677,0.0,2.0,5.069874532637186e-06,0.08939729,0.09503058,0.09085108,0.08951725,0.09325453,0.090514354,0.08939729,0.09384577,0.08939729,0.08939729,0.08939729
2020-07-22,100.0697179459135,-0.0007561449892818928,0.0,2.0,6.171129825816024e-06,0.089570165,0.094351426,0.09198471,0.089570165,0.090848126,0.09148438,0.089570165,0.09391039,0.089570165,0.089570165,0.089570165
2020-07-23,99.51153091330139,-0.005577969364821911,0.0,2.0,3.295399437774904e-06,0.089648165,0.09394216,0.09173607,0.089648165,0.09202784,0.09066877,0.089648165,0.09373623,0.089648165,0.089648165,0.089648165
2020-07-24,98.99580600987399,-0.005182584747672081,0.0,2.0,5.8923142205458134e-06,0.089685194,0.094007224,0.092611395,0.089685194,0.089685194,0.09245231,0.089685194,0.093132675,0.089685194,0.089685194,0.089685194
2020-07-26,98.97344269853691,-0.00022590123990084976,0.0,2.0,2.3131506168283522e-05,0.088286184,0.095049195,0.089679904,0.092951976,0.09283698,0.09136409,0.09364166,0.08978367,0.088286184,0.089833945,0.088286184
2020-07-27,99.28710725100386,0.003169206203892827,0.0,2.0,1.8867278413381428e-05,0.08680836,0.09637065,0.08751959,0.09728537,0.09268217,0.091366746,0.09612566,0.08680836,0.08680836,0.09112609,0.087098636
2020-07-28,99.00767241329432,-0.002814416540786624,0.0,2.0,1.1462442671472672e-05,0.085711315,0.09738946,0.08655155,0.09942796,0.09167268,0.091142744,0.098012194,0.085711315,0.085711315,0.09088756,0.08778194
2020-07-29,99.04210069751377,0.0003477184218354523,0.0,2.0,2.40350236708764e-05,0.08623657,0.0963236,0.08895812,0.09783188,0.08623657,0.09405177,0.09409273,0.086616315,0.08623657,0.092113845,0.09130206
2020-07-30,99.39104885269221,0.0035232214722782373,0.0,2.0,1.3801411114400253e-05,0.08629844,0.09455691,0.08903851,0.094639,0.08629844,0.096509084,0.092469476,0.08629844,0.08629844,0.092613734,0.094979554
2020-07-31,99.25710933474653,-0.0013475974556058645,0.008654318,2.0,2.078927354887128e-05,0.08716664,0.093261234,0.091596246,0.08959708,0.08716664,0.09753646,0.0897006,0.09010514,0.08716664,0.09132554,0.09537777
2020-08-02,99.47779485804222,0.002223422285169363,0.0,2.0,1.4406562513613608e-05,0.088108584,0.092265636,0.0928447,0.088108584,0.088108584,0.097201176,0.08811877,0.09323417,0.088108584,0.090179585,0.0937217
2020-08-03,99.72838056703533,0.0025190343149006367,0.0,2.0,1.093918126571225e-05,0.088796176,0.09201835,0.09240006,0.088796176,0.088796176,0.09552589,0.0894607,0.09461143,0.088796176,0.088796176,0.092002705
2020-08-04,99.20280563108675,-0.0052700345404446125,0.0,2.0,1.3483644579537213e-05,0.089607805,0.091477156,0.09353133,0.08937453,0.08937453,0.09195345,0.08999902,0.09655863,0.08937453,0.08937453,0.08937453
2020-08-05,99.04054251233521,-0.0016356904525309801,0.0,2.0,1.1360414646333084e-05,0.09279025,0.08913788,0.09366201,0.08913788,0.08913788,0.092325725,0.08913788,0.09502538,0.08913788,0.08913788,0.0913693
2020-08-06,99.25212774344429,0.0021363834384828806,0.0,2.0,2.14746905840002e-05,0.09138891,0.09006123,0.08989868,0.08978158,0.09059868,0.0923021,0.09367963,0.08947637,0.09011132,0.08947637,0.09322516
2020-08-07,99.11637586569957,-0.001367744174785912,0.0,2.0,2.3949638489284553e-05,0.08840955,0.08840955,0.08840955,0.09111788,0.08840955,0.09675513,0.0925133,0.08840955,0.08974576,0.08840955,0.09941063
2020-08-09,99.10621445593475,-0.00010251106868963689,0.0,2.0,6.09742119195289e-06,0.08796338,0.08796338,0.08796338,0.09307265,0.08796338,0.09678977,0.09214159,0.08796338,0.08990718,0.08796338,0.10030849
2020-08-10,99.23336082872684,0.0012829480692744255,0.0,2.0,1.0984227628796361e-05,0.08757802,0.0916881,0.08757802,0.094370626,0.08757802,0.09716335,0.092237525,0.08757802,0.08812146,0.08757802,0.09852898
2020-08-11,99.81946714047966,0.005906299222260714,0.0,2.0,2.0608344129868783e-05,0.08798779,0.09643667,0.08798779,0.09395811,0.09149449,0.09429061,0.09151596,0.08798779,0.08798779,0.08798779,0.09236525
2020-08-12,100.01058352853155,0.0019146278500556946,0.0,2.0,2.143603705917485e-05,0.08781746,0.10033308,0.08781746,0.091934614,0.09758619,0.09099552,0.09224588,0.08781746,0.08781746,0.08781746,0.08781746
2020-08-13,100.1113021948048,0.0010070607531815767,0.0,2.0,2.420654345769435e-05,0.08595542,0.10463268,0.08595542,0.09244366,0.10244771,0.08886432,0.09467895,0.08595542,0.08715557,0.08595542,0.08595542
2020-08-14,100.23274458562032,0.0012130390387028456,0.0,2.0,8.358710147149395e-06,0.08582249,0.10630938,0.08582249,0.09206963,0.100640096,0.09014761,0.09589833,0.08582249,0.08582249,0.08582249,0.08582249
2020-08-16,100.02751415632828,-0.002047509653493762,0.0,2.0,1.0975913028232753e-05,0.08555118,0.106143005,0.08555118,0.0948377,0.096675105,0.092203274,0.09646841,0.08555118,0.08591666,0.08555118,0.08555118
2020-08-17,99.98738919338615,-0.00040111219277605414,0.0,2.0,2.2502736101159826e-05,0.08640658,0.10478833,0.08640658,0.09673928,0.08897811,0.096786104,0.09426867,0.08640658,0.08640658,0.08640658,0.08640658
2020-08-18,99.96613089777543,-0.0002125963510479778,0.0,2.0,2.283208232256584e-05,0.08697868,0.09846368,0.08697868,0.09662321,0.08697868,0.09825127,0.09129281,0.08697868,0.08697868,0.08948108,0.09099459
2020-08-19,100.45493795100344,0.004889672622084618,0.0,2.0,2.058818245131988e-05,0.086148195,0.09276974,0.086148195,0.09741914,0.086148195,0.09780348,0.091570236,0.086148195,0.086148195,0.09462688,0.09506946
2020-08-20,100.52302872091299,0.0006778548704460263,0.0,2.0,1.251114190381486e-05,0.08643582,0.08880034,0.08643582,0.09817458,0.08643582,0.09598938,0.09109826,0.08643582,0.08643582,0.09495095,0.0988075
2020-08-21,100.38022997864815,-0.0014205514453351498,0.0,2.0,1.9468614482320845e-05,0.08773694,0.08773694,0.08773694,0.09511474,0.08773694,0.09384686,0.08773694,0.08773694,0.08773694,0.09484365,0.10203611
2020-08-23,100.32508348832978,-0.00054936547530815,0.0,2.0,1.6207233784371056e-05,0.08868338,0.08868338,0.08868338,0.09169722,0.08868338,0.092072584,0.08868338,0.090161934,0.08868338,0.09234183,0.10162611
2020-08-24,100.34341768072352,0.00018273731984663755,0.0,2.0,1.2493938811530825e-05,0.08889605,0.08889605,0.08889605,0.08889605,0.08889605,0.0927293,0.08889605,0.09281671,0.08889605,0.08889605,0.10328559
2020-08-25,100.37076250990354,0.0002725225349422544,0.0,2.0,5.063496701041004e-06,0.08888835,0.08888835,0.08888835,0.08888835,0.08888835,0.09447409,0.08888835,0.09360366,0.08888835,0.08888835,0.10081547
2020-08-26,100.31970132919143,-0.0005087389145046473,0.0,2.0,7.157713298511226e-06,0.08911092,0.08911092,0.08911092,0.08911092,0.08911092,0.09432232,0.08911092,0.09540197,0.08911092,0.08911092,0.09738841
2020-08-27,100.32252366270775,2.8171723897685297e-05,0.0,2.0,1.5412673747050576e-05,0.089616686,0.089616686,0.09030591,0.089616686,0.089616686,0.092659704,0.089616686,0.098372914,0.089616686,0.089616686,0.091344655
2020-08-28,100.14888547135838,-0.001730817835777998,0.0,2.0,3.600930722313933e-05,0.0900708,0.09526582,0.09157021,0.090671,0.099199496,0.08716348,0.08716348,0.097405314,0.08716348,0.08716348,0.08716348
2020-08-30,100.19578059652474,0.0004682846774812788,0.0,2.0,1.517227337899385e-05,0.093329184,0.09501268,0.09071318,0.093502186,0.09987036,0.08599474,0.08750288,0.09443551,0.08599474,0.08764973,0.08599474
2020-08-31,100.20736653631101,0.00011563131556613371,-0.012756164,2.0,5.225017957855016e-06,0.09261866,0.095280446,0.09021187,0.09319203,0.09982033,0.08636105,0.08646244,0.09465736,0.08636105,0.08867375,0.08636105
2020-09-01,100.25868504429708,0.0005120966234244406,0.0,2.0,1.72165127878543e-05,0.09234659,0.09214227,0.091207385,0.09161825,0.097175755,0.08810623,0.088839635,0.09424523,0.08810623,0.08810623,0.08810623
2020-09-02,100.436360006802,0.001772192306816578,0.0,2.0,1.2713440810330212e-05,0.09122199,0.091467835,0.09115599,0.08964592,0.0956057,0.089366585,0.090154916,0.0932813,0.089366585,0.089366585,0.089366585
2020-09-03,100.64771844233745,0.002104432787746191,0.0,2.0,1.284992049477296e-05,0.09246151,0.09495101,0.091443256,0.08835346,0.09674733,0.08835346,0.089039974,0.09355467,0.0883884,0.08835346,0.08835346
2020-09-04,100.6693150997562,0.0002145736216334626,0.0,2.0,1.1604161045397632e-05,0.094466075,0.09564825,0.092421584,0.08727036,0.09770934,0.08727036,0.08868835,0.0947146,0.08727036,0.08727036,0.08727036
2020-09-06,100.59338055956864,-0.0007542984676547348,0.0,2.0,1.1376671864127275e-05,0.096636884,0.09674736,0.09301603,0.086279295,0.099284634,0.086279295,0.08795535,0.094963305,0.086279295,0.086279295,0.086279295
2020-09-07,100.88684059597203,0.002917249919846654,0.0,2.0,1.9549534044926986e-05,0.09579015,0.09383528,0.09451088,0.08770017,0.09326868,0.08770017,0.08824289,0.09585128,0.08770017,0.08770017,0.08770017
2020-09-08,100.99545325941062,0.00107661378569901,0.0,2.0,2.3096070435713045e-05,0.092240594,0.09019459,0.09410461,0.08947759,0.08947759,0.090903826,0.08947759,0.09569084,0.08947759,0.08947759,0.08947759
2020-09-09,101.62643645827657,0.006247587967664003,0.0,2.0,2.101276913890615e-05,0.090105325,0.090105325,0.09140832,0.090105325,0.090105325,0.09665914,0.0906894,0.090105325,0.090105325,0.090105325,0.090505965
2020-09-10,101.53392167131625,-0.0009103652555495501,0.0,2.0,7.254816864588065e-06,0.089887775,0.09017358,0.089887775,0.089887775,0.089887775,0.09889431,0.089887775,0.089887775,0.089887775,0.089887775,0.09182989
2020-09-11,101.53953782833008,5.535022501135245e-05,0.0,2.0,6.0796664911322296e-06,0.08958177,0.08958177,0.08958177,0.08958177,0.08958177,0.09943692,0.08958177,0.08958177,0.08958177,0.08958177,0.09432712
2020-09-13,101.69351861521561,0.0015164818614721298,0.0,2.0,1.2707584573945496e-05,0.08985137,0.09069521,0.08985137,0.08985137,0.08985137,0.09579357,0.09152332,0.090673156,0.09044119,0.08985137,0.09161667
2020-09-14,102.37615416490667,0.006712622009217739,0.0,2.0,1.301417523791315e-05,0.08988224,0.08988224,0.08988224,0.08988224,0.09166842,0.09212035,0.08988224,0.09364955,0.09203134,0.08988224,0.09123682
2020-09-15,102.5677233134384,0.0018711758311837912,0.0,2.0,1.2273245374672115e-05,0.089403205,0.089403205,0.089403205,0.089403205,0.09553207,0.090372816,0.09132761,0.09348929,0.09285898,0.089403205,0.089403205
2020-09-16,102.87712819186956,0.0030165764037519693,0.0,2.0,6.87819738232065e-06,0.08948745,0.08948745,0.08948745,0.08948745,0.09780268,0.08948745,0.08948745,0.09415227,0.09214537,0.08948745,0.08948745
2020-09-17,102.79904388095676,-0.0007590232999064028,0.0,2.0,1.4343575458042324e-05,0.09010622,0.09010622,0.09010622,0.09010622,0.09258147,0.092327856,0.09010622,0.09310713,0.09123995,0.09010622,0.09010622
2020-09-18,103.41911443632573,0.006031908560544252,0.0,2.0,8.916542356018908e-06,0.09001186,0.09001186,0.09001186,0.09001186,0.09001186,0.09655018,0.09001186,0.0933431,0.09001186,0.09001186,0.09001186
2020-09-20,103.424366385487,5.081197741674259e-05,0.0,2.0,1.619816612219438e-05,0.08906128,0.08906128,0.090567365,0.08906128,0.08906128,0.09510511,0.08906128,0.09844796,0.08906128,0.08906128,0.09245056
2020-09-21,103.85221238357265,0.004136830102652311,0.0,2.0,1.2041479749314021e-05,0.08825345,0.08825345,0.09321575,0.08825345,0.08825345,0.09473922,0.08825345,0.09927269,0.08825345,0.08825345,0.09499823
2020-09-22,104.87524595127739,0.009850814007222652,0.0,2.0,8.622781024314463e-06,0.087842844,0.087842844,0.09471535,0.087842844,0.087842844,0.093302056,0.087842844,0.101731226,0.087842844,0.087842844,0.09535145
2020-09-23,105.00075456892944,0.0011967942118644714,0.0,2.0,9.68328913586447e-06,0.087771505,0.087771505,0.09576426,0.087771505,0.087771505,0.09483848,0.087771505,0.09738897,0.087771505,0.087771505,0.09760778
2020-09-24,105.4025899180036,0.0038269395008683205,0.0,2.0,2.4295681214425713e-05,0.08875209,0.08875209,0.09822717,0.08875209,0.08875209,0.090563774,0.08875209,0.10020977,0.08875209,0.08875209,0.08973462
2020-09-25,105.55872220864362,0.0014813488814979792,0.0,2.0,9.459078682994004e-06,0.08915592,0.08966062,0.095125906,0.08915592,0.08915592,0.09117943,0.08915592,0.09858149,0.08915592,0.08915592,0.09051699
2020-09-27,105.71469568621893,0.0014775819145143032,0.0,2.0,1.6582571333856322e-05,0.08918447,0.093132995,0.089897044,0.08918447,0.08918447,0.09233308,0.08918447,0.09551908,0.08918447,0.08918447,0.094010964
2020-09-28,106.53676068544209,0.00777623662725091,0.0,2.0,7.552549504907802e-06,0.08880333,0.094681874,0.08880333,0.08880333,0.08880333,0.093073666,0.08880333,0.0951234,0.08880333,0.08880333,0.0954978
2020-09-29,106.56264363506578,0.00024291141016874462,0.0,2.0,1.6781137674115598e-05,0.08814643,0.09766828,0.08814643,0.08814643,0.08814643,0.093821235,0.09345988,0.09237638,0.08814643,0.08814643,0.09379559
2020-09-30,106.83502687252582,0.0025560746435076,0.003409047,2.0,2.3918064471217804e-05,0.08723644,0.103174135,0.08761031,0.08908713,0.09106754,0.09232932,0.096051246,0.09079916,0.08804344,0.08723644,0.08736478
2020-10-01,107.51134495379014,0.006330504082143307,0.0,2.0,4.338804865255952e-05,0.09083474,0.10979214,0.08584421,0.092361,0.09927138,0.08585306,0.092746034,0.08877623,0.085831374,0.08434488,0.08434488
2020-10-02,107.36835933329424,-0.001329934224486351,0.0,2.0,3.5538621887099e-05,0.09433005,0.10974242,0.08192417,0.09226613,0.11354537,0.08160169,0.09233769,0.08612388,0.08492515,0.08160169,0.08160169
2020-10-04,106.74626187242404,-0.005794040393084288,0.0,2.0,2.4183147615985945e-05,0.09130864,0.10676723,0.08128429,0.09544094,0.120536335,0.08128429,0.091640815,0.08200049,0.08534679,0.083105884,0.08128429
