date,equity,return,benchmark_return,leverage,cost,cash_weight,C0_w,C1_w,C2_w,C3_w,C4_w,C5_w,C6_w,C7_w,C8_w,C9_w
2020-07-20,99.79250486360397,-0.002074951363960281,0.0,2.0,0.0018409533947706222,0.0795233,0.0795233,0.098740935,0.10737979,0.0795233,0.13332845,0.09592825,0.0795233,0.0795233,0.08748276,0.0795233
2020-07-21,100.11071614640518,0.0031887295190244913,0.0,2.0,5.4670166719006374e-05,0.08316997,0.08316997,0.10419603,0.1037062,0.08316997,0.11401644,0.09589155,0.08316997,0.08316997,0.08316997,0.08316997
2020-07-22,100.02738013513247,-0.0008324146619997919,0.0,2.0,6.772165943402797e-05,0.08655078,0.08655078,0.11142757,0.09135669,0.08655078,0.09250514,0.0973763,0.08655078,0.08802964,0.08655078,0.08655078
2020-07-23,99.4900760020881,-0.005371564533561468,0.0,2.0,6.715240306220949e-05,0.08399328,0.08399328,0.103956625,0.08399328,0.097162314,0.08399328,0.099970005,0.08399328,0.08926745,0.08399328,0.105683915
2020-07-24,99.03536411557701,-0.004570417571812868,0.0,2.0,0.00015353731578215957,0.08846639,0.07431345,0.09074695,0.07431345,0.084291354,0.07729875,0.1202756,0.07431345,0.07431345,0.08945605,0.15221107
2020-07-26,99.0829066174192,0.00048006640281528234,0.0,2.0,0.00012481305748224258,0.07658325,0.07658325,0.091668166,0.08109439,0.1167164,0.09276868,0.12022391,0.07658325,0.07658325,0.07658325,0.11461219
2020-07-27,99.48330814427847,0.004041032399982214,0.0,2.0,0.00017113784269895405,0.071476795,0.071476795,0.08348455,0.10892793,0.08731456,0.13278355,0.13794443,0.071476795,0.071476795,0.071476795,0.09216099
2020-07-28,99.20125166252971,-0.0028352299705147743,0.0,2.0,0.00017177728295791894,0.080435485,0.080435485,0.09193549,0.0982061,0.11995882,0.109072864,0.09446404,0.080435485,0.080435485,0.080435485,0.08418525
2020-07-29,99.2150877440876,0.0001394933497067541,0.0,2.0,0.00011019447265425697,0.08550925,0.08550925,0.10032492,0.08651322,0.08550925,0.114538446,0.08550925,0.08550925,0.08550925,0.08550925,0.100058645
2020-07-30,99.52056480133646,0.003078996203839779,0.0,2.0,0.00012328159937169403,0.08107963,0.08107963,0.094905175,0.08107963,0.08107963,0.08679379,0.08461452,0.08107963,0.08107963,0.10288436,0.14432433
